epoch, i, loss
28, 14, 0.9755
28, 15, 0.9731
28, 16, 0.9728
28, 17, 0.9717
28, 18, 0.9760
28, 19, 0.9759
28, 20, 0.9742
28, 21, 0.9729
28, 22, 0.9768
28, 23, 0.9727
28, 24, 0.9733
28, 25, 0.9691
28, 26, 0.9753
28, 27, 0.9765
28, 28, 0.9739
28, 29, 0.9728
28, 30, 0.9757
28, 31, 0.9734
28, 32, 0.9743
28, 33, 0.9713
28, 34, 0.9723
28, 35, 0.9760
28, 36, 0.9754
28, 37, 0.9775
28, 38, 0.9737
28, 39, 0.9715
28, 40, 0.9717
28, 41, 0.9740
28, 42, 0.9725
29, 0, 0.9729
29, 1, 0.9721
29, 2, 0.9749
29, 3, 0.9733
29, 4, 0.9725
29, 5, 0.9768
29, 6, 0.9720
29, 7, 0.9756
29, 8, 0.9762
29, 9, 0.9707
29, 10, 0.9736
29, 11, 0.9730
29, 12, 0.9743
29, 13, 0.9753
29, 14, 0.9758
29, 15, 0.9694
29, 16, 0.9725
29, 17, 0.9750
29, 18, 0.9729
29, 19, 0.9711
29, 20, 0.9737
29, 21, 0.9741
